day,well,type,n,sample,cells_per_ml
1,H05,algae,255,89,10200
1,H05,background,234,89,9360
1,H06,algae,103,90,4120
1,H06,background,583,90,23320
1,H07,algae,595,91,23800
1,H07,background,1786,91,71440
1,H08,algae,92,92,3680
1,H08,background,607,92,24280
1,H09,algae,459,93,18360
1,H09,background,1057,93,42280
1,H10,algae,274,94,10960
1,H10,background,536,94,21440
1,H11,algae,568,95,22720
1,H11,background,1353,95,54120
1,H12,algae,375,96,15e3
1,H12,background,859,96,34360
2,A01,algae,474,1,18960
2,A01,background,843,1,33720
2,A02,algae,409,2,16360
2,A02,background,1285,2,51400
2,A03,algae,69,3,2760
2,A03,background,726,3,29040
2,A04,algae,159,4,6360
2,A04,background,123,4,4920
2,A05,algae,455,5,18200
2,A05,background,350,5,14e3
2,A06,algae,141,6,5640
2,A06,background,147,6,5880
2,A07,algae,272,7,10880
2,A07,background,1919,7,76760
2,A08,algae,220,8,8800
2,A08,background,225,8,9e3
2,A09,algae,493,9,19720
2,A09,background,588,9,23520
2,A10,algae,962,10,38480
2,A10,background,854,10,34160
2,A11,algae,68,11,2720
2,A11,background,903,11,36120
2,A12,algae,20,12,800
2,A12,background,688,12,27520
2,B01,algae,432,13,17280
2,B01,background,1481,13,59240
2,B02,algae,1006,14,40240
2,B02,background,919,14,36760
2,B03,algae,343,15,13720
2,B03,background,116,15,4640
2,B04,algae,234,16,9360
2,B04,background,176,16,7040
2,B05,algae,87,17,3480
2,B05,background,57,17,2280
2,B06,algae,200,18,8e3
2,B06,background,305,18,12200
2,B07,algae,920,19,36800
2,B07,background,506,19,20240
2,B08,algae,47,20,1880
2,B08,background,389,20,15560
2,B09,algae,382,21,15280
2,B09,background,224,21,8960
2,B10,algae,27,22,1080
2,B10,background,120,22,4800
2,B11,algae,816,23,32640
2,B11,background,1650,23,66e3
2,B12,algae,239,24,9560
2,B12,background,209,24,8360
2,C01,algae,296,25,11840
2,C01,background,832,25,33280
2,C02,algae,99,26,3960
2,C02,background,286,26,11440
2,C03,algae,137,27,5480
2,C03,background,1167,27,46680
2,C04,algae,308,28,12320
2,C04,background,3750,28,15e4
2,C05,algae,477,29,19080
2,C05,background,271,29,10840
2,C06,algae,332,30,13280
2,C06,background,1081,30,43240
2,C07,algae,235,31,9400
2,C07,background,2141,31,85640
2,C08,algae,576,32,23040
2,C08,background,290,32,11600
2,C09,algae,160,33,6400
2,C09,background,276,33,11040
2,C10,algae,203,34,8120
2,C10,background,744,34,29760
2,C11,algae,296,35,11840
2,C11,background,563,35,22520
2,C12,algae,774,36,30960
2,C12,background,189,36,7560
2,D01,algae,850,37,34e3
2,D01,background,891,37,35640
2,D02,algae,46,38,1840
2,D02,background,146,38,5840
2,D03,algae,859,39,34360
2,D03,background,1813,39,72520
2,D04,algae,288,40,11520
2,D04,background,1759,40,70360
2,D05,algae,804,41,32160
2,D05,background,1662,41,66480
2,D06,algae,610,42,24400
2,D06,background,1261,42,50440
2,D07,algae,110,43,4400
2,D07,background,1081,43,43240
2,D08,algae,272,44,10880
2,D08,background,619,44,24760
2,D09,algae,199,45,7960
2,D09,background,63,45,2520
2,D10,algae,563,46,22520
2,D10,background,901,46,36040
2,D11,algae,66,47,2640
2,D11,background,581,47,23240
2,D12,algae,32,48,1280
2,D12,background,521,48,20840
2,E01,algae,365,49,14600
2,E01,background,936,49,37440
2,E02,algae,159,50,6360
2,E02,background,1051,50,42040
2,E03,algae,720,51,28800
2,E03,background,577,51,23080
2,E04,algae,424,52,16960
2,E04,background,1060,52,42400
2,E05,algae,683,53,27320
2,E05,background,674,53,26960
2,E06,algae,29,54,1160
2,E06,background,545,54,21800
2,E07,algae,668,55,26720
2,E07,background,353,55,14120
2,E08,algae,101,56,4040
2,E08,background,884,56,35360
2,E09,algae,118,57,4720
2,E09,background,58,57,2320
2,E10,algae,430,58,17200
2,E10,background,2621,58,104840
2,E11,algae,39,59,1560
2,E11,background,1356,59,54240
2,E12,algae,149,60,5960
2,E12,background,327,60,13080
2,F01,algae,114,61,4560
2,F01,background,76,61,3040
2,F02,algae,55,62,2200
2,F02,background,1129,62,45160
2,F03,algae,63,63,2520
2,F03,background,977,63,39080
2,F04,algae,295,64,11800
2,F04,background,182,64,7280
2,F05,algae,375,65,15e3
2,F05,background,1153,65,46120
2,F06,algae,410,66,16400
2,F06,background,209,66,8360
2,F07,algae,471,67,18840
2,F07,background,295,67,11800
2,F08,algae,118,68,4720
2,F08,background,733,68,29320
2,F09,algae,815,69,32600
2,F09,background,847,69,33880
2,F10,algae,457,70,18280
2,F10,background,1376,70,55040
2,F11,algae,450,71,18e3
2,F11,background,526,71,21040
2,F12,algae,158,72,6320
2,F12,background,494,72,19760
2,G01,algae,265,73,10600
2,G01,background,1881,73,75240
2,G02,algae,328,74,13120
2,G02,background,197,74,7880
2,G03,algae,614,75,24560
2,G03,background,287,75,11480
2,G04,algae,829,76,33160
2,G04,background,404,76,16160
2,G05,algae,273,77,10920
2,G05,background,1672,77,66880
2,G06,algae,488,78,19520
2,G06,background,309,78,12360
2,G07,algae,497,79,19880
2,G07,background,2717,79,108680
2,G08,algae,316,80,12640
2,G08,background,127,80,5080
2,G09,algae,995,81,39800
2,G09,background,597,81,23880
2,G10,algae,148,82,5920
2,G10,background,350,82,14e3
2,G11,algae,29,83,1160
2,G11,background,153,83,6120
2,G12,algae,101,84,4040
2,G12,background,213,84,8520
2,H01,algae,678,85,27120
2,H01,background,803,85,32120
2,H02,algae,161,86,6440
2,H02,background,740,86,29600
2,H03,algae,669,87,26760
2,H03,background,799,87,31960
2,H04,algae,67,88,2680
2,H04,background,963,88,38520
2,H05,algae,100,89,4e3
2,H05,background,117,89,4680
2,H06,algae,106,90,4240
2,H06,background,1134,90,45360
2,H07,algae,496,91,19840
2,H07,background,1592,91,63680
