day,well,type,n,sample,nutrients,dreissena,tea,lagerheimia,synechococcus,phyto,replicate,day_0_chlA,day_0_phycocyanin,day_1_chlA,day_1_phycocyanin,day_2_chlA,day_2_phycocyanin,day_7_chlA,day_7_phycocyanin,Dreissena_length,cells_per_ml
0,E12,algae,270,60,0,1,1,1,1,SL,3,23,77,16,35,16,43,13,12,16.7,10800
0,E12,background,498,60,0,1,1,1,1,SL,3,23,77,16,35,16,43,13,12,16.7,19920
0,F01,algae,169,61,0,0,0,1,0,L,2,41,5,37,4,27,5,33,4,NA,6760
0,F01,background,317,61,0,0,0,1,0,L,2,41,5,37,4,27,5,33,4,NA,12680
0,F02,algae,432,62,0,0,1,1,0,L,3,35,6,25,3,34,5,38,5,NA,17280
0,F02,background,386,62,0,0,1,1,0,L,3,35,6,25,3,34,5,38,5,NA,15440
0,F03,algae,40,63,0,0,0,0,1,S,4,13,160,16,107,15,42,9,18,NA,1600
0,F03,background,364,63,0,0,0,0,1,S,4,13,160,16,107,15,42,9,18,NA,14560
0,F04,algae,50,64,0,0,1,0,1,S,1,14,165,23,154,16,54,10,21,NA,2e3
0,F04,background,474,64,0,0,1,0,1,S,1,14,165,23,154,16,54,10,21,NA,18960
0,F05,algae,579,65,0,1,1,1,0,L,2,39,4,19,3,24,4,16,3,13.87,23160
0,F05,background,542,65,0,1,1,1,0,L,2,39,4,19,3,24,4,16,3,13.87,21680
0,F06,algae,453,66,1,1,1,1,1,SL,3,30,126,37,152,46,214,40,11,16.1,18120
0,F06,background,771,66,1,1,1,1,1,SL,3,30,126,37,152,46,214,40,11,16.1,30840
0,F07,algae,657,67,1,0,1,1,0,L,1,43,5,32,5,19,2,41,4,NA,26280
0,F07,background,701,67,1,0,1,1,0,L,1,43,5,32,5,19,2,41,4,NA,28040
0,F08,algae,90,68,1,1,1,0,1,S,4,23,246,35,275,47,349,26,8,14.52,3600
0,F08,background,615,68,1,1,1,0,1,S,4,23,246,35,275,47,349,26,8,14.52,24600
0,F09,algae,728,69,1,0,0,1,0,L,1,43,4,33,5,34,4,48,5,NA,29120
0,F09,background,1011,69,1,0,0,1,0,L,1,43,4,33,5,34,4,48,5,NA,40440
0,F10,algae,448,70,0,0,0,1,1,SL,1,26,79,31,116,36,105,24,18,NA,17920
0,F10,background,1485,70,0,0,0,1,1,SL,1,26,79,31,116,36,105,24,18,NA,59400
0,F11,algae,356,71,1,0,1,1,1,SL,4,35,126,38,173,62,284,43,58,NA,14240
0,F11,background,775,71,1,0,1,1,1,SL,4,35,126,38,173,62,284,43,58,NA,31e3
0,F12,algae,370,72,0,1,0,1,1,SL,4,26,76,27,111,38,194,16,5,14.73,14800
